ticker,validated_date
1SXP.DE,2025-11-21T10:30:13.476153
8TRA.DE,2025-11-21T10:30:13.476163
A,2025-11-21T10:30:13.476167
A2A.F,2025-11-21T10:30:13.476170
A2A.MI,2025-11-21T10:30:13.476174
A3M.MC,2025-11-21T10:30:13.476177
AAF.L,2025-11-21T10:30:13.476180
AAK,2025-11-21T10:30:13.476184
AAK.ST,2025-11-21T10:30:13.476187
AAL.L,2025-11-21T10:30:13.476190
AALB.AS,2025-11-21T10:30:13.476194
AAPL,2025-11-21T10:30:13.476197
ABB.F,2025-11-21T10:30:13.476200
ABB.MC,2025-11-21T10:30:13.476204
ABBV,2025-11-21T10:30:13.476207
ABDN.L,2025-11-21T10:30:13.476210
ABF.L,2025-11-21T10:30:13.476214
ABI.BR,2025-11-21T10:30:13.476217
ABNB,2025-11-21T10:30:13.476220
ABT,2025-11-21T10:30:13.476223
ABVX.PA,2025-11-21T10:30:13.476227
AC.PA,2025-11-21T10:30:13.476230
ACAD.ST,2025-11-21T10:30:13.476234
ACE.MI,2025-11-21T10:30:13.476237
ACGL,2025-11-21T10:30:13.476241
ACKB.BR,2025-11-21T10:30:13.476244
ACLN.SW,2025-11-21T10:30:13.476247
ACN,2025-11-21T10:30:13.476251
ACS,2025-11-21T10:30:13.476254
ACS.MC,2025-11-21T10:30:13.476257
ACX.MC,2025-11-21T10:30:13.476260
AD.AS,2025-11-21T10:30:13.476264
ADBE,2025-11-21T10:30:13.476267
ADDT-B.ST,2025-11-21T10:30:13.476271
ADEN.SW,2025-11-21T10:30:13.476274
ADI,2025-11-21T10:30:13.476277
ADM,2025-11-21T10:30:13.476281
ADP,2025-11-21T10:30:13.476284
ADP.PA,2025-11-21T10:30:13.476287
ADS.DE,2025-11-21T10:30:13.476290
ADSK,2025-11-21T10:30:13.476294
ADYEN.AS,2025-11-21T10:30:13.476297
AEDAS.MC,2025-11-21T10:30:13.476300
AEE,2025-11-21T10:30:13.476304
AENA.MC,2025-11-21T10:30:13.476307
