ticker,validated_date
1SXP.DE,2025-11-21T10:30:12.057324
8TRA.DE,2025-11-21T10:30:12.057338
A,2025-11-21T10:30:12.057342
A2A.F,2025-11-21T10:30:12.057346
A2A.MI,2025-11-21T10:30:12.057350
A3M.MC,2025-11-21T10:30:12.057353
AAF.L,2025-11-21T10:30:12.057357
AAK,2025-11-21T10:30:12.057360
AAK.ST,2025-11-21T10:30:12.057364
AAL.L,2025-11-21T10:30:12.057367
AALB.AS,2025-11-21T10:30:12.057370
AAPL,2025-11-21T10:30:12.057374
ABB.F,2025-11-21T10:30:12.057377
ABB.MC,2025-11-21T10:30:12.057380
ABBV,2025-11-21T10:30:12.057383
ABDN.L,2025-11-21T10:30:12.057387
ABF.L,2025-11-21T10:30:12.057390
ABI.BR,2025-11-21T10:30:12.057393
ABNB,2025-11-21T10:30:12.057397
ABT,2025-11-21T10:30:12.057400
ABVX.PA,2025-11-21T10:30:12.057403
AC.PA,2025-11-21T10:30:12.057407
ACAD.ST,2025-11-21T10:30:12.057410
ACE.MI,2025-11-21T10:30:12.057413
ACGL,2025-11-21T10:30:12.057417
ACKB.BR,2025-11-21T10:30:12.057420
ACLN.SW,2025-11-21T10:30:12.057423
ACN,2025-11-21T10:30:12.057427
ACS,2025-11-21T10:30:12.057431
ACS.MC,2025-11-21T10:30:12.057434
ACX.MC,2025-11-21T10:30:12.057437
AD.AS,2025-11-21T10:30:12.057440
ADBE,2025-11-21T10:30:12.057444
ADDT-B.ST,2025-11-21T10:30:12.057447
ADEN.SW,2025-11-21T10:30:12.057450
ADI,2025-11-21T10:30:12.057454
ADM,2025-11-21T10:30:12.057457
ADP,2025-11-21T10:30:12.057460
ADP.PA,2025-11-21T10:30:12.057464
ADS.DE,2025-11-21T10:30:12.057467
ADSK,2025-11-21T10:30:12.057471
ADYEN.AS,2025-11-21T10:30:12.057474
AEDAS.MC,2025-11-21T10:30:12.057477
AEE,2025-11-21T10:30:12.057481
AENA.MC,2025-11-21T10:30:12.057484
AEP,2025-11-21T10:30:12.057487
AERO.SW,2025-11-21T10:30:12.057490
AES,2025-11-21T10:30:12.057499
AFL,2025-11-21T10:30:12.057503
AFRY.ST,2025-11-21T10:30:12.057506
AGG,2025-11-21T10:30:12.057512
AGRP.L,2025-11-21T10:30:12.057518
AGS.BR,2025-11-21T10:30:12.057525
AHT.L,2025-11-21T10:30:12.057531
AIG,2025-11-21T10:30:12.057537
AIR.PA,2025-11-21T10:30:12.057543
AIXA.DE,2025-11-21T10:30:12.057549
AIZ,2025-11-21T10:30:12.057555
AJG,2025-11-21T10:30:12.057561
AKAM,2025-11-21T10:30:12.057567
AKE.PA,2025-11-21T10:30:12.057574
AKER.OL,2025-11-21T10:30:12.057580
AKRBP.OL,2025-11-21T10:30:12.057586
ALB,2025-11-21T10:30:12.057593
ALFA.ST,2025-11-21T10:30:12.057600
ALFEN.AS,2025-11-21T10:30:12.057607
ALGN,2025-11-21T10:30:12.057676
ALIF-B.ST,2025-11-21T10:30:12.057691
ALL,2025-11-21T10:30:12.057699
ALLE,2025-11-21T10:30:12.057705
ALLEI.ST,2025-11-21T10:30:12.057711
ALLFG.AS,2025-11-21T10:30:12.057717
ALLN.SW,2025-11-21T10:30:12.057723
ALM.MC,2025-11-21T10:30:12.057730
ALMB.CO,2025-11-21T10:30:12.057736
ALPH.L,2025-11-21T10:30:12.057742
ALSN.SW,2025-11-21T10:30:12.057753
ALV.DE,2025-11-21T10:30:12.057760
AM.PA,2025-11-21T10:30:12.057766
AMAT,2025-11-21T10:30:12.057772
AMBEA.ST,2025-11-21T10:30:12.057779
AMCR,2025-11-21T10:30:12.057785
AMD,2025-11-21T10:30:12.057791
AME,2025-11-21T10:30:12.057797
AMG.AS,2025-11-21T10:30:12.057804
AMGN,2025-11-21T10:30:12.057810
AML.L,2025-11-21T10:30:12.057816
AMP,2025-11-21T10:30:12.057820
AMS.SW,2025-11-21T10:30:12.057823
AMT,2025-11-21T10:30:12.057827
AMUN.PA,2025-11-21T10:30:12.057830
AMZN,2025-11-21T10:30:12.057833
ANA.MC,2025-11-21T10:30:12.057838
ANDR.VI,2025-11-21T10:30:12.057841
ANE.MC,2025-11-21T10:30:12.057845
ANET,2025-11-21T10:30:12.057848
ANOD-B.ST,2025-11-21T10:30:12.057851
ANTO.L,2025-11-21T10:30:12.057855
AON,2025-11-21T10:30:12.057858
AOS,2025-11-21T10:30:12.057861
APA,2025-11-21T10:30:12.057864
APAM.AS,2025-11-21T10:30:12.057867
APD,2025-11-21T10:30:12.057871
APH,2025-11-21T10:30:12.057874
APO,2025-11-21T10:30:12.057877
APOTEA.ST,2025-11-21T10:30:12.057880
APP,2025-11-21T10:30:12.057883
APTV,2025-11-21T10:30:12.057886
AQ.ST,2025-11-21T10:30:12.057891
ARCAD.AS,2025-11-21T10:30:12.057895
ARE,2025-11-21T10:30:12.057898
ARGX.BR,2025-11-21T10:30:12.057901
ARIS.MI,2025-11-21T10:30:12.057917
ARJO-B.ST,2025-11-21T10:30:12.057921
ARM,2025-11-21T10:30:12.057924
ARYN.SW,2025-11-21T10:30:12.057927
